,Date,Day,Season,Team,Opp,Site,P1,P2,P3,Final,Line,Total,SUm,SUr,OUr,ot
59,2021-01-16 00:00:00,Saturday,2020,Wild,Kings,away,1-1,0-2,2-0,4-3,-140,5.5,1.0,W,O,1.0
60,2021-01-17 00:00:00,Sunday,2020,Panthers,Blackhawks,home,0-0,2-1,3-1,5-2,-150,6.5,3.0,W,O,0.0
61,2021-01-17 00:00:00,Sunday,2020,Blackhawks,Panthers,away,0-0,1-2,1-3,2-5,136,6.5,-3.0,L,O,0.0
62,2021-01-17 00:00:00,Sunday,2020,Penguins,Capitals,home,1-2,2-1,0-0,4-3,-125,6.5,1.0,W,O,1.0
63,2021-01-17 00:00:00,Sunday,2020,Capitals,Penguins,away,2-1,1-2,0-0,3-4,113,6.5,-1.0,L,O,1.0
64,2021-01-18 00:00:00,Monday,2020,Blues,Sharks,home,0-2,4-1,1-1,5-4,-180,5.5,1.0,W,O,0.0
65,2021-01-18 00:00:00,Monday,2020,Sharks,Blues,away,2-0,1-4,1-1,4-5,162,5.5,-1.0,L,O,0.0
66,2021-01-18 00:00:00,Monday,2020,Predators,Hurricanes,home,0-0,1-1,1-3,2-4,105,6.0,-2.0,L,P,0.0
67,2021-01-18 00:00:00,Monday,2020,Hurricanes,Predators,away,0-0,1-1,3-1,4-2,-125,6.0,2.0,W,P,0.0
68,2021-01-18 00:00:00,Monday,2020,Flames,Canucks,home,0-1,3-0,2-1,5-2,-150,6.0,3.0,W,O,0.0
69,2021-01-18 00:00:00,Monday,2020,Canucks,Flames,away,1-0,0-3,1-2,2-5,136,6.0,-3.0,L,O,0.0
70,2021-01-18 00:00:00,Monday,2020,Oilers,Canadiens,home,0-1,0-1,1-1,1-3,-115,6.5,-2.0,L,U,0.0
71,2021-01-18 00:00:00,Monday,2020,Canadiens,Oilers,away,1-0,1-0,1-1,3-1,-105,6.5,2.0,W,U,0.0
72,2021-01-18 00:00:00,Monday,2020,Islanders,Bruins,home,0-0,0-0,1-0,1-0,115,5.5,1.0,W,U,0.0
73,2021-01-18 00:00:00,Monday,2020,Bruins,Islanders,away,0-0,0-0,0-1,0-1,-127,5.5,-1.0,L,U,0.0
74,2021-01-18 00:00:00,Monday,2020,Flyers,Sabres,home,0-1,0-3,1-2,1-6,-155,6.0,-5.0,L,O,0.0
75,2021-01-18 00:00:00,Monday,2020,Sabres,Flyers,away,1-0,3-0,2-1,6-1,135,6.0,5.0,W,O,0.0
76,2021-01-18 00:00:00,Monday,2020,Red Wings,Blue Jackets,home,1-0,0-1,1-2,2-3,160,5.5,-1.0,L,U,0.0
77,2021-01-18 00:00:00,Monday,2020,Blue Jackets,Red Wings,away,0-1,1-0,2-1,3-2,-180,5.5,1.0,W,U,0.0
78,2021-01-18 00:00:00,Monday,2020,Maple Leafs,Jets,home,0-0,2-1,1-0,3-1,-170,6.5,2.0,W,U,0.0
79,2021-01-18 00:00:00,Monday,2020,Jets,Maple Leafs,away,0-0,1-2,0-1,1-3,153,6.5,-2.0,L,U,0.0
80,2021-01-18 00:00:00,Monday,2020,Knights,Coyotes,home,0-1,1-1,3-0,4-2,-200,5.5,2.0,W,O,0.0
81,2021-01-18 00:00:00,Monday,2020,Coyotes,Knights,away,1-0,1-1,0-3,2-4,180,5.5,-2.0,L,O,0.0
82,2021-01-18 00:00:00,Monday,2020,Ducks,Wild,home,0-0,0-0,1-0,1-0,120,5.5,1.0,W,U,0.0
83,2021-01-18 00:00:00,Monday,2020,Wild,Ducks,away,0-0,0-0,0-1,0-1,-133,5.5,-1.0,L,U,0.0
84,2021-01-19 00:00:00,Tuesday,2020,Rangers,Devils,home,0-1,2-3,1-0,3-4,-149,6.0,-1.0,L,O,0.0
85,2021-01-19 00:00:00,Tuesday,2020,Devils,Rangers,away,1-0,3-2,0-1,4-3,130,6.0,1.0,W,O,0.0
86,2021-01-19 00:00:00,Tuesday,2020,Flyers,Sabres,home,0-0,1-0,2-0,3-0,-140,6.0,3.0,W,U,0.0
87,2021-01-19 00:00:00,Tuesday,2020,Sabres,Flyers,away,0-0,0-1,0-2,0-3,127,6.0,-3.0,L,U,0.0
88,2021-01-19 00:00:00,Tuesday,2020,Panthers,Blackhawks,home,2-1,1-2,1-1,5-4,-155,6.5,1.0,W,O,1.0
89,2021-01-19 00:00:00,Tuesday,2020,Blackhawks,Panthers,away,1-2,2-1,1-1,4-5,140,6.5,-1.0,L,O,1.0
90,2021-01-19 00:00:00,Tuesday,2020,Penguins,Capitals,home,1-3,3-1,0-0,5-4,-135,6.5,1.0,W,O,1.0
91,2021-01-19 00:00:00,Tuesday,2020,Capitals,Penguins,away,3-1,1-3,0-0,4-5,122,6.5,-1.0,L,O,1.0
92,2021-01-19 00:00:00,Tuesday,2020,Red Wings,Blue Jackets,home,0-0,2-1,0-1,3-2,155,5.5,1.0,W,U,1.0
